Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG
Jakub Moder,POL,MF,Brighton,22,1999,28,19,1701,18.9,0,3,3,0,0,0,1,0,2.6,2.6,2.2,4.8
Wesley Moraes,BRA,FW,Aston Villa,24,1996,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
Tyler Morton,ENG,MF,Liverpool,18,2002,2,1,66,0.7,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0
Mason Mount,ENG,MF,Chelsea,22,1999,32,27,2363,26.3,11,10,21,10,1,1,4,0,8.0,7.2,6.7,14.0
Lucas Moura,BRA,"FW,MF",Tottenham,28,1992,34,19,1775,19.7,2,6,8,2,0,0,4,0,2.7,2.7,5.0,7.7
João Moutinho,POR,MF,Wolves,34,1986,35,34,2970,33.0,2,1,3,2,0,0,4,0,1.3,1.3,2.7,3.9
Bali Mumba,ENG,DF,Norwich City,19,2001,1,0,45,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
Jacob Murphy,ENG,"FW,DF",Newcastle Utd,26,1995,33,13,1473,16.4,1,2,3,1,0,0,4,0,2.2,2.2,2.6,4.8
Enock Mwepu,ZAM,MF,Brighton,23,1998,18,12,996,11.1,2,4,6,2,0,0,2,0,2.1,2.1,1.6,3.7
Vitaliy Mykolenko,UKR,DF,Everton,22,1999,13,12,1055,11.7,1,0,1,1,0,0,0,0,0.5,0.5,0.8,1.2
Marvelous Nakamba,ZIM,MF,Aston Villa,27,1994,16,10,904,10.0,0,0,0,0,0,0,5,0,0.0,0.0,0.0,0.0
Wilfred Ndidi,NGA,"MF,DF",Leicester City,24,1996,19,18,1618,18.0,0,0,0,0,0,0,4,0,0.7,0.7,0.0,0.8
Tanguy Ndombele,FRA,MF,Tottenham,24,1996,9,6,484,5.4,1,1,2,1,0,0,1,0,0.4,0.4,0.4,0.8
Reiss Nelson,ENG,FW,Arsenal,21,1999,1,0,20,0.2,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1
Pedro Neto,POR,"FW,MF",Wolves,21,2000,13,5,466,5.2,1,1,2,1,0,0,3,0,1.5,1.5,1.0,2.5
Rúben Neves,POR,MF,Wolves,24,1997,33,31,2661,29.6,4,2,6,4,0,0,9,0,1.1,1.1,3.1,4.3
Jeremy Ngakia,ENG,DF,Watford,20,2000,16,9,903,10.0,0,0,0,0,0,0,0,0,0.1,0.1,0.5,0.6
Saúl Ñíguez,ESP,"DF,MF",Chelsea,26,1994,10,5,480,5.3,0,0,0,0,0,0,1,0,0.3,0.3,0.5,0.9
Eddie Nketiah,ENG,FW,Arsenal,22,1999,21,8,835,9.3,5,1,6,5,0,0,3,0,4.4,4.4,2.0,6.4
Nicolas Nkoulou,CMR,DF,Watford,31,1990,3,2,168,1.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
Mark Noble,ENG,MF,West Ham,34,1987,11,3,332,3.7,1,0,1,0,1,2,0,0,1.6,0.0,0.0,0.0
Mathias Normann,NOR,MF,Norwich City,25,1996,23,20,1645,18.3,1,2,3,1,0,0,6,0,0.9,0.9,1.8,2.7
Christian Nørgaard,DEN,MF,Brentford,27,1994,35,35,3054,33.9,3,4,7,3,0,0,8,0,3.8,3.8,3.3,7.1
Angelo Ogbonna,ITA,DF,West Ham,33,1988,11,11,921,10.2,1,0,1,1,0,0,1,0,0.3,0.3,0.0,0.3
Michael Olise,FRA,"FW,MF",Crystal Palace,19,2001,26,12,1141,12.7,2,5,7,2,0,0,4,0,1.7,1.7,3.9,5.6
Robin Olsen,SWE,GK,Aston Villa,31,1990,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
Andrew Omobamidele,IRL,DF,Norwich City,19,2002,5,4,382,4.2,1,0,1,1,0,0,1,0,0.2,0.2,0.0,0.2
Tyler Onyango,ENG,MF,Everton,18,2003,3,0,28,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
Frank Onyeka,NGA,MF,Brentford,23,1998,20,12,1045,11.6,0,0,0,0,0,0,4,0,0.8,0.8,0.2,1.0
Divock Origi,BEL,FW,Liverpool,26,1995,7,0,133,1.5,3,0,3,3,0,0,0,0,1.5,1.5,0.0,1.5
Alex Oxlade-Chamberlain,ENG,"MF,FW",Liverpool,27,1993,17,9,785,8.7,2,1,3,2,0,0,0,0,1.3,1.3,1.1,2.5
Cole Palmer,ENG,"FW,MF",Manchester City,19,2002,4,1,123,1.4,0,0,0,0,0,0,0,0,0.4,0.4,0.2,0.6
Emerson Palmieri,ITA,DF,Chelsea,26,1994,1,0,5,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
Thomas Partey,GHA,MF,Arsenal,28,1993,24,23,2028,22.5,2,1,3,2,0,0,6,0,2.8,2.8,1.0,3.8
Nicolas Pépé,CIV,"FW,MF",Arsenal,26,1995,20,5,696,7.7,1,2,3,1,0,0,0,0,2.6,2.6,1.7,4.3
Ricardo Pereira,POR,DF,Leicester City,27,1993,14,13,991,11.0,1,3,4,1,0,0,3,0,0.7,0.7,1.3,2.0
Ayoze Pérez,ESP,"MF,FW",Leicester City,28,1993,14,6,445,4.9,2,3,5,2,0,0,0,1,1.6,1.6,1.6,3.2
Sonny Perkins,ENG,FW,West Ham,17,2004,1,0,4,0.0,0,0,0,0,0,0,0,0,,,,
Romain Perraud,FRA,DF,Southampton,23,1997,20,18,1623,18.0,0,1,1,0,0,0,3,0,0.5,0.5,0.7,1.2
Kalvin Phillips,ENG,MF,Leeds United,25,1995,20,18,1596,17.7,0,1,1,0,0,0,4,0,0.7,0.7,0.7,1.4
Jaden Philogene Bidace,ENG,FW,Aston Villa,19,2002,1,0,5,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
Jordan Pickford,ENG,GK,Everton,27,1994,35,35,3150,35.0,0,0,0,0,0,0,2,0,0.0,0.0,0.1,0.1
Erik Pieters,NED,DF,Burnley,32,1988,12,8,730,8.1,0,1,1,0,0,0,1,0,0.2,0.2,1.0,1.2
Ethan Pinnock,JAM,DF,Brentford,28,1993,32,32,2694,29.9,1,1,2,1,0,0,1,0,1.2,1.2,1.2,2.4
Daniel Podence,POR,"FW,MF",Wolves,25,1995,26,15,1484,16.5,2,3,5,2,0,0,2,0,2.0,2.0,3.9,5.9
Paul Pogba,FRA,"MF,FW",Manchester Utd,28,1993,20,16,1349,15.0,1,9,10,1,0,0,7,1,2.6,2.6,3.5,6.1
Nick Pope,ENG,GK,Burnley,29,1992,36,36,3240,36.0,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1
Isaac Price,NIR,MF,Everton,17,2003,1,0,14,0.2,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1
Teemu Pukki,FIN,FW,Norwich City,31,1990,37,37,3253,36.1,11,3,14,8,3,3,4,0,11.4,9.1,3.8,12.9
Christian Pulisic,USA,"MF,FW",Chelsea,22,1998,22,13,1290,14.3,6,2,8,6,0,0,2,0,4.9,4.9,1.3,6.2
Przemysław Płacheta,POL,"FW,MF",Norwich City,23,1998,12,6,504,5.6,0,0,0,0,0,0,1,0,0.4,0.4,0.8,1.1
Jesuran Rak Sakyi,ENG,"FW,MF",Crystal Palace,18,2002,2,1,80,0.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
Aaron Ramsdale,ENG,GK,Arsenal,23,1998,34,34,3060,34.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0
Jacob Ramsey,ENG,MF,Aston Villa,20,2001,34,29,2467,27.4,6,1,7,6,0,0,6,0,4.0,4.0,1.9,5.9
Raphinha,BRA,"FW,MF",Leeds United,24,1996,35,34,2915,32.4,11,3,14,7,4,4,7,0,10.2,7.0,7.5,14.5
Marcus Rashford,ENG,"FW,MF",Manchester Utd,23,1997,25,13,1235,13.7,4,2,6,4,0,0,2,0,2.9,2.9,2.1,5.0
Milot Rashica,KVX,"FW,MF",Norwich City,25,1996,31,25,2229,24.8,1,2,3,1,0,0,0,0,2.6,2.6,2.1,4.7
David Raya,ESP,GK,Brentford,25,1995,24,24,2160,24.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0
Nathan Redmond,ENG,"MF,FW",Southampton,27,1994,27,20,1833,20.4,1,5,6,1,0,0,0,0,1.7,1.7,3.9,5.6
Sergio Reguilón,ESP,"DF,MF",Tottenham,24,1996,25,22,1916,21.3,2,3,5,2,0,0,4,0,3.0,3.0,3.3,6.4
Declan Rice,ENG,MF,West Ham,22,1999,36,35,3179,35.3,1,4,5,1,0,0,8,0,1.1,1.1,1.7,2.8
Taylor Richards,ENG,MF,Brighton,20,2000,2,0,25,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
Richarlison,BRA,FW,Everton,24,1997,30,28,2523,28.0,10,5,15,7,3,3,9,0,9.2,6.8,3.6,10.4
Jaïro Riedewald,NED,MF,Crystal Palace,24,1996,3,1,118,1.3,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1
Matt Ritchie,SCO,DF,Newcastle Utd,31,1989,18,14,1337,14.9,0,2,2,0,0,0,5,0,0.7,0.7,2.0,2.7
Connor Roberts,WAL,DF,Burnley,25,1995,21,19,1692,18.8,1,1,2,1,0,0,2,0,0.4,0.4,1.2,1.6
Tyler Roberts,WAL,"MF,FW",Leeds United,22,1999,23,7,987,11.0,1,1,2,1,0,0,5,0,2.4,2.4,1.0,3.4
Andrew Robertson,SCO,DF,Liverpool,27,1994,29,29,2537,28.2,3,10,13,3,0,0,5,1,1.4,1.4,5.6,7.0
Joe Rodon,WAL,DF,Tottenham,23,1997,3,0,89,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
Rodri,ESP,MF,Manchester City,25,1996,33,33,2884,32.0,7,2,9,7,0,0,5,0,2.3,2.3,1.4,3.7
Rodrigo,ESP,"MF,FW",Leeds United,30,1991,31,27,2265,25.2,6,1,7,5,1,1,9,0,4.2,3.5,3.1,6.6
Jay Rodriguez,ENG,FW,Burnley,32,1989,29,13,1382,15.4,2,2,4,2,0,0,3,0,4.8,4.8,2.1,6.9
Mads Roerslev,DEN,DF,Brentford,22,1999,21,12,1240,13.8,1,1,2,1,0,0,1,0,0.4,0.4,0.6,0.9
Cristian Romero,ARG,DF,Tottenham,23,1998,22,21,1844,20.5,1,0,1,1,0,0,8,0,0.5,0.5,0.3,0.7
Oriol Romeu,ESP,MF,Southampton,29,1991,36,34,2889,32.1,2,2,4,2,0,0,9,0,1.4,1.4,2.9,4.3
Cristiano Ronaldo,POR,FW,Manchester Utd,36,1985,30,27,2456,27.3,18,3,21,15,3,3,8,0,17.7,15.4,2.9,18.2
Salomón Rondón,VEN,FW,Everton,31,1989,20,8,790,8.8,1,1,2,1,0,0,3,1,1.8,1.8,0.7,2.6
Danny Rose,ENG,DF,Watford,31,1990,8,7,689,7.7,0,0,0,0,0,0,4,0,0.2,0.2,0.8,1.0
Jon Rowe,ENG,"FW,MF",Norwich City,18,2003,13,0,223,2.5,0,1,1,0,0,0,0,0,0.3,0.3,0.5,0.8
John Ruddy,ENG,GK,Wolves,34,1986,2,1,135,1.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
Antonio Rüdiger,GER,DF,Chelsea,28,1993,34,34,3035,33.7,3,0,3,3,0,0,9,0,2.3,2.3,0.7,3.0
Lukas Rupp,GER,MF,Norwich City,30,1991,19,7,769,8.5,0,0,0,0,0,0,0,0,0.7,0.7,1.4,2.0
José Sá,POR,GK,Wolves,28,1993,37,37,3285,36.5,0,1,1,0,0,0,3,0,0.0,0.0,0.9,0.9
Allan Saint-Maximin,FRA,"FW,MF",Newcastle Utd,24,1997,35,31,2804,31.2,5,5,10,5,0,0,6,0,5.2,5.2,4.3,9.5
Romain Saïss,MAR,DF,Wolves,31,1990,31,31,2705,30.1,2,0,2,2,0,0,6,0,2.7,2.7,0.3,3.1
Bukayo Saka,ENG,"FW,MF",Arsenal,19,2001,38,36,2978,33.1,11,7,18,9,2,2,6,0,10.3,8.7,7.5,16.3
Mohamed Salah,EGY,FW,Liverpool,29,1992,35,30,2762,30.7,23,13,36,18,5,6,1,0,22.7,17.8,10.0,27.8
Mohammed Salisu,GHA,DF,Southampton,22,1999,34,33,2972,33.0,0,0,0,0,0,0,10,1,2.0,2.0,0.8,2.7
Albert Sambi Lokonga,BEL,MF,Arsenal,21,1999,19,12,1134,12.6,0,0,0,0,0,0,5,0,0.6,0.6,1.0,1.6
Davinson Sánchez,COL,DF,Tottenham,25,1996,23,17,1631,18.1,2,0,2,2,0,0,4,0,2.1,2.1,0.3,2.4
Robert Sánchez,ESP,GK,Brighton,23,1997,37,37,3329,37.0,0,0,0,0,0,0,3,1,0.0,0.0,0.4,0.4
Jadon Sancho,ENG,"FW,MF",Manchester Utd,21,2000,29,20,1900,21.1,3,3,6,3,0,0,0,0,3.6,3.6,4.1,7.7
Morgan Sanson,FRA,MF,Aston Villa,26,1994,10,3,356,4.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
Samir Santos,BRA,DF,Watford,26,1994,19,19,1673,18.6,0,0,0,0,0,0,4,0,0.5,0.5,0.1,0.6
Josh Sargent,USA,"FW,MF",Norwich City,21,2000,26,18,1572,17.5,2,1,3,2,0,0,1,0,2.5,2.5,0.9,3.4
Jeremy Sarmiento,ECU,"FW,MF",Brighton,19,2002,5,1,48,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
Ismaila Sarr,SEN,"FW,MF",Watford,23,1998,22,21,1861,20.7,5,2,7,5,0,1,2,0,4.8,4.0,2.9,6.9
Malang Sarr,FRA,DF,Chelsea,22,1999,8,6,546,6.1,0,0,0,0,0,0,2,0,0.0,0.0,0.4,0.4
Dane Scarlett,ENG,MF,Tottenham,17,2004,1,0,4,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
Fabian Schär,SUI,DF,Newcastle Utd,29,1991,25,25,2158,24.0,2,2,4,2,0,0,4,0,1.2,1.2,1.1,2.3
Jeffrey Schlupp,GHA,"MF,FW",Crystal Palace,28,1992,32,20,1851,20.6,4,1,5,4,0,0,1,0,3.4,3.4,1.6,4.9
Kasper Schmeichel,DEN,GK,Leicester City,34,1986,37,37,3330,37.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0
Ken Sema,SWE,"MF,FW",Watford,27,1993,18,7,852,9.5,0,0,0,0,0,0,1,0,0.1,0.1,1.3,1.4
Nélson Semedo,POR,"MF,DF",Wolves,27,1993,25,25,2131,23.7,0,1,1,0,0,0,1,0,1.6,1.6,1.3,2.9
Ryan Sessegnon,ENG,"DF,MF",Tottenham,21,2000,15,13,1047,11.6,0,2,2,0,0,0,2,0,0.3,0.3,2.7,3.0
Jamie Shackleton,ENG,"DF,MF",Leeds United,21,1999,14,7,709,7.9,0,0,0,0,0,0,4,0,0.2,0.2,0.0,0.2
Luke Shaw,ENG,DF,Manchester Utd,26,1995,20,19,1601,17.8,0,3,3,0,0,0,8,0,0.1,0.1,3.6,3.7
Jonjo Shelvey,ENG,MF,Newcastle Utd,29,1992,24,22,1983,22.0,2,1,3,2,0,0,7,1,0.9,0.9,1.0,1.9
Shola Shoretire,ENG,MF,Manchester Utd,17,2004,1,0,16,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
Francisco Sierralta,CHI,DF,Watford,24,1997,5,5,427,4.7,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1
Bernardo Silva,POR,"MF,FW",Manchester City,26,1994,35,33,2857,31.7,8,4,12,8,0,0,6,0,6.7,6.7,6.5,13.2
Fábio Silva,POR,FW,Wolves,19,2002,22,6,572,6.4,0,0,0,0,0,0,0,0,1.8,1.8,0.2,1.9
Thiago Silva,BRA,DF,Chelsea,36,1984,32,28,2650,29.4,3,0,3,3,0,0,2,0,0.9,0.9,0.2,1.1
Ellis Simms,ENG,FW,Everton,20,2001,1,1,61,0.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
Moussa Sissoko,FRA,MF,Watford,31,1989,36,36,3220,35.8,2,1,3,2,0,0,5,0,3.8,3.7,3.1,6.8
Oliver Skipp,ENG,MF,Tottenham,20,2000,18,14,1350,15.0,0,0,0,0,0,0,6,0,0.2,0.2,0.7,1.0
William Smallbone,IRL,"MF,FW",Southampton,21,2000,4,2,133,1.5,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1
Emile Smith Rowe,ENG,"MF,FW",Arsenal,21,2000,33,21,1921,21.3,10,2,12,10,0,0,1,0,6.0,6.0,2.0,8.0
Cédric Soares,POR,DF,Arsenal,29,1991,21,16,1486,16.5,1,1,2,1,0,0,3,0,0.6,0.6,1.6,2.1
Tomáš Souček,CZE,MF,West Ham,26,1995,35,34,3062,34.0,5,1,6,5,0,0,3,0,5.5,4.8,2.2,7.0
Boubakary Soumaré,FRA,MF,Leicester City,22,1999,19,12,1102,12.2,0,1,1,0,0,0,0,0,0.4,0.4,0.4,0.7
Çağlar Söyüncü,TUR,DF,Leicester City,25,1996,28,28,2497,27.7,1,0,1,1,0,0,5,0,1.0,1.0,0.1,1.1
Tony Springett,ENG,"MF,FW",Norwich City,18,2002,3,1,141,1.6,0,0,0,0,0,0,1,0,0.2,0.2,0.5,0.7
Jason Steele,ENG,GK,Brighton,30,1990,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
Jed Steer,ENG,GK,Aston Villa,28,1992,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
Zack Steffen,USA,GK,Manchester City,26,1995,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
Dale Stephens,ENG,MF,Burnley,32,1989,3,1,124,1.4,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.1
Jack Stephens,ENG,DF,Southampton,27,1994,11,9,811,9.0,0,0,0,0,0,0,3,0,0.0,0.0,0.3,0.3
Raheem Sterling,ENG,FW,Manchester City,26,1994,30,23,2128,23.6,13,5,18,11,2,3,1,0,14.0,11.5,5.5,17.0
Finley Stevens,WAL,DF,Brentford,18,2003,1,0,15,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1
John Stones,ENG,DF,Manchester City,27,1994,14,12,1119,12.4,1,0,1,1,0,0,0,0,0.9,0.9,0.2,1.1
Pascal Struijk,NED,"DF,MF",Leeds United,21,1999,29,22,2055,22.8,1,0,1,1,0,0,6,1,1.4,1.4,0.4,1.9
Crysencio Summerville,NED,"MF,FW",Leeds United,19,2001,6,0,130,1.4,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.3
Jakob Sørensen,DEN,"MF,DF",Norwich City,23,1998,10,6,604,6.7,0,0,0,0,0,0,0,0,0.5,0.5,0.0,0.5
Japhet Tanganga,ENG,DF,Tottenham,22,1999,11,10,735,8.2,0,0,0,0,0,0,4,1,0.4,0.4,0.2,0.7
Matt Targett,ENG,DF,Aston Villa,25,1995,17,17,1431,15.9,1,1,2,1,0,0,2,0,0.5,0.5,1.7,2.2
Matt Targett,ENG,DF,Newcastle Utd,25,1995,16,16,1440,16.0,0,0,0,0,0,0,1,0,0.3,0.3,1.9,2.2
James Tarkowski,ENG,DF,Burnley,28,1992,35,35,3106,34.5,1,2,3,1,0,0,11,0,2.5,2.5,0.5,3.0
Nuno Tavares,POR,DF,Arsenal,21,2000,22,13,1176,13.1,1,1,2,1,0,0,2,0,1.9,1.9,1.1,2.9
Charlie Taylor,ENG,DF,Burnley,27,1993,31,30,2731,30.3,0,3,3,0,0,0,3,0,0.2,0.2,3.8,4.0
Nathan Tella,ENG,"MF,FW",Southampton,22,1999,14,10,804,8.9,0,1,1,0,0,0,2,0,0.6,0.6,0.6,1.2
Alex Telles,BRA,DF,Manchester Utd,28,1992,21,18,1660,18.4,0,4,4,0,0,0,1,0,0.4,0.4,1.9,2.3
Luke Thomas,ENG,DF,Leicester City,20,2001,22,21,1912,21.2,0,1,1,0,0,0,2,0,0.1,0.1,1.3,1.5
Dominic Thompson,ENG,DF,Brentford,21,2000,2,2,146,1.6,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1
Youri Tielemans,BEL,MF,Leicester City,24,1997,32,29,2631,29.2,6,4,10,4,2,2,3,0,4.4,2.8,4.2,7.0
Kieran Tierney,SCO,DF,Arsenal,24,1997,22,22,1915,21.3,1,3,4,1,0,0,0,0,0.6,0.6,1.8,2.4
Takehiro Tomiyasu,JPN,DF,Arsenal,22,1998,21,20,1679,18.7,0,1,1,0,0,0,2,0,0.6,0.6,1.0,1.6
James Tomkins,ENG,DF,Crystal Palace,32,1989,8,6,547,6.1,1,0,1,1,0,0,2,0,0.5,0.5,0.2,0.7
Ivan Toney,ENG,FW,Brentford,25,1996,33,32,2909,32.3,12,5,17,7,5,5,8,0,11.4,7.4,5.8,13.3
Ferrán Torres,ESP,FW,Manchester City,21,2000,4,4,303,3.4,2,1,3,2,0,0,0,0,2.8,2.8,0.0,2.8
Cenk Tosun,TUR,MF,Everton,30,1991,1,0,7,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
Andros Townsend,ENG,"MF,FW",Everton,30,1991,21,17,1455,16.2,3,2,5,2,1,1,3,0,2.2,1.5,3.1,4.5
Adama Traoré,ESP,"FW,MF",Wolves,25,1996,20,10,1067,11.9,1,0,1,1,0,0,0,0,3.0,3.0,1.4,4.4
Bertrand Traoré,BFA,"MF,FW",Aston Villa,25,1995,9,1,220,2.4,0,0,0,0,0,0,0,0,0.3,0.3,0.0,0.3
Trézéguet,EGY,FW,Aston Villa,26,1994,1,0,11,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
Francisco Trincão,POR,"FW,MF",Wolves,21,1999,28,16,1336,14.8,2,1,3,2,0,0,0,0,3.7,3.7,1.6,5.4
Kieran Trippier,ENG,DF,Newcastle Utd,30,1990,6,5,429,4.8,2,0,2,2,0,0,0,0,0.2,0.2,0.3,0.5
William Troost-Ekong,NGA,DF,Watford,27,1993,17,15,1390,15.4,0,0,0,0,0,0,3,0,0.1,0.1,0.1,0.2
Leandro Trossard,BEL,"FW,MF",Brighton,26,1994,34,32,2805,31.2,8,3,11,7,1,1,2,0,6.7,5.9,4.8,10.7
Kostas Tsimikas,GRE,DF,Liverpool,25,1996,13,9,877,9.7,0,2,2,0,0,0,3,0,0.6,0.6,2.7,3.3
Axel Tuanzebe,ENG,DF,Aston Villa,23,1997,9,6,508,5.6,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1
Ozan Tufan,TUR,MF,Watford,26,1995,7,4,334,3.7,0,0,0,0,0,0,0,0,0.6,0.6,0.3,0.9
Christos Tzolis,GRE,"FW,MF",Norwich City,19,2002,14,3,336,3.7,0,0,0,0,0,0,0,0,0.4,0.4,0.7,1.1
Yan Valery,TUN,DF,Southampton,22,1999,5,3,370,4.1,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.2
Virgil van Dijk,NED,DF,Liverpool,30,1991,34,34,3060,34.0,3,1,4,3,0,0,3,0,2.0,2.0,1.5,3.6
Raphaël Varane,FRA,DF,Manchester Utd,28,1993,22,20,1831,20.3,1,1,2,1,0,0,0,0,0.7,0.7,0.2,0.9
Jamie Vardy,ENG,FW,Leicester City,34,1987,25,20,1806,20.1,15,2,17,15,0,0,2,0,10.8,10.8,1.4,12.2
Joël Veltman,NED,DF,Brighton,29,1992,34,33,2874,31.9,1,1,2,1,0,0,6,0,0.7,0.7,1.6,2.3
Jannik Vestergaard,DEN,DF,Leicester City,28,1992,10,6,567,6.3,0,0,0,0,0,0,2,0,0.1,0.1,0.0,0.1
Nikola Vlašić,CRO,"FW,MF",West Ham,23,1997,19,6,560,6.2,1,0,1,1,0,0,0,0,1.3,1.3,0.6,2.0
Matěj Vydra,CZE,FW,Burnley,29,1992,22,5,679,7.5,2,3,5,2,0,0,1,0,2.9,2.9,0.7,3.7
Theo Walcott,ENG,"MF,FW",Southampton,32,1989,9,5,379,4.2,0,0,0,0,0,0,0,0,0.6,0.6,0.0,0.7
Kyle Walker,ENG,DF,Manchester City,31,1990,20,20,1755,19.5,0,2,2,0,0,0,1,0,0.3,0.3,1.3,1.5
Kyle Walker-Peters,ENG,DF,Southampton,24,1997,32,29,2633,29.3,1,2,3,1,0,0,5,0,1.1,1.1,2.7,3.8
Aaron Wan-Bissaka,ENG,DF,Manchester Utd,23,1997,20,20,1793,19.9,0,0,0,0,0,0,2,0,0.3,0.3,0.9,1.2
Danny Ward,WAL,GK,Leicester City,28,1993,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
Joel Ward,ENG,DF,Crystal Palace,31,1989,28,27,2487,27.6,0,0,0,0,0,0,8,0,0.3,0.3,0.5,0.8
James Ward-Prowse,ENG,MF,Southampton,26,1994,36,36,3215,35.7,10,5,15,6,4,4,3,1,5.4,2.2,6.5,8.7
Ollie Watkins,ENG,FW,Aston Villa,25,1995,35,33,2952,32.8,11,2,13,10,1,1,7,0,11.6,11.0,3.4,14.4
Adam Webster,ENG,DF,Brighton,26,1995,22,16,1434,15.9,2,0,2,2,0,0,5,0,0.9,0.9,0.0,0.9
Wout Weghorst,NED,FW,Burnley,28,1992,20,17,1450,16.1,2,3,5,2,0,0,3,0,4.8,4.8,1.5,6.2
Danny Welbeck,ENG,"FW,MF",Brighton,30,1990,25,15,1478,16.4,6,2,8,6,0,0,0,0,6.6,6.6,1.2,7.8
Timo Werner,GER,"FW,MF",Chelsea,25,1996,21,15,1283,14.3,4,1,5,4,0,0,1,0,6.8,6.8,0.3,7.1
Ashley Westwood,ENG,MF,Burnley,31,1990,27,26,2287,25.4,0,3,3,0,0,0,7,0,0.6,0.6,4.1,4.7
Ben White,ENG,DF,Arsenal,23,1997,32,32,2880,32.0,0,0,0,0,0,0,3,0,1.0,1.0,1.3,2.3
Brandon Williams,ENG,DF,Norwich City,20,2000,26,23,2120,23.6,0,1,1,0,0,0,8,0,0.2,0.2,1.9,2.2
Neco Williams,WAL,DF,Liverpool,20,2001,1,0,8,0.1,0,1,1,0,0,0,0,0,0.0,0.0,0.7,0.7
Joe Willock,ENG,MF,Newcastle Utd,21,1999,29,24,2038,22.6,2,0,2,2,0,0,0,0,3.2,3.2,1.2,4.4
Callum Wilson,ENG,FW,Newcastle Utd,29,1992,18,16,1386,15.4,8,0,8,6,2,2,4,0,6.2,4.6,0.5,5.1
Harry Winks,ENG,MF,Tottenham,25,1996,19,9,912,10.1,0,1,1,0,0,0,2,0,0.1,0.1,1.5,1.6
Yoane Wissa,COD,FW,Brentford,24,1996,30,12,1284,14.3,7,1,8,7,0,0,0,0,3.1,3.1,0.9,4.0
Chris Wood,NZL,FW,Burnley,29,1991,17,17,1367,15.2,3,0,3,3,0,0,1,0,4.2,4.2,0.5,4.7
Chris Wood,NZL,FW,Newcastle Utd,29,1991,17,15,1327,14.7,2,0,2,1,1,1,0,0,3.1,2.3,1.1,3.4
Freddie Woodman,ENG,GK,Newcastle Utd,24,1997,4,4,360,4.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
Granit Xhaka,SUI,"MF,DF",Arsenal,28,1992,27,27,2327,25.9,1,2,3,1,0,0,10,1,1.4,1.4,2.3,3.7
Andriy Yarmolenko,UKR,"FW,MF",West Ham,31,1989,19,1,316,3.5,1,0,1,1,0,0,1,0,0.8,0.8,0.3,1.1
Ashley Young,ENG,"DF,FW",Aston Villa,36,1985,24,10,1250,13.9,0,2,2,0,0,0,2,0,0.4,0.4,1.0,1.4
